username,mu_user_id
$$$,13629
0Ix,5509
"10,000 Jelly Doughnuts",6764
100 Percent Win Rate,14134
1247023985894,1964
420LlamaTown,14870
_17_,13739
a07netfriend,10750
abcdefg21s nr. 1 fan,13393
Abraham DeLacey,9565
Abraxas,6357
Absinthe.,9830
Achromatic,127
Actionguy777,10302
Adonalsium,13141
Adrian,1045
Aeoryi,12072
Aeroyi,12839
Aether and Lumine,9875
Afkane,13636
Agus21,13561
aidan0626,14479
Akane Bus Queen,13564
Akane Shy Queen,13408
Akane Sus Queen,13372
AkaneBBQ,13576
AkaneSQ,11274
Akasuki,11916
Akatsuki,12543
akesi,11722
Alduin,13396
Alette,136
alexa can read us,13331
alexa can you read brad,13329
alexa.,10421
alexanne,9286
Alexanny,11833
Alexis2282AE,13482
alig,12094
Alkaid,13242
Alolan Ninetales,13371
Alolan Vulpix,13335
Alpha 5,12170
alt referred by alexa,13917
alt referred by benneh,13919
Alyssa the Lamb,11885
amialice,15536
Amity,13899
AmogusSus,11018
Amrock,2700
angrysheriff,11497
anji,13987
Ankha,12657
anne.,10360
annika_,12942
annilexa,14410
Anniversary,1288
Anonymous0726,929
Ant-Man~,1666
Antaria,9768
Aoki Lapis,12572
apathy,15589
Apollo,12554
Apostla,14480
AragakiAyase,1420
Arapocalypse,3002
Arctic,9426
Arezu,12588
Argonovice,14864
Arnold,15612
arogame123,10486
Arohcitna,3975
Ascended Alive,12581
asiago8,11591
Aslan,14337
Athena Cykes,8593
Aureal,13967
Australian Cattle,14606
autumnseas,12921
AvatarVecna,5551
awesome5000,1980
AzmineJimmy,14171
Ba3henov,15460
Baby,13384
Badbad,13754
Bamboo,13859
Banana Cat!!,13098
bannika,13763
baudib1,189
baudib2,11372
baudib3,11379
Beck,69
BedwarsPro123,14006
Beedrill,11407
Ben and Luka,14072
ben.,15094
benneh,274
bennehs_adopted_son,12801
Bezzo,9467
"Big Ham, Mafia Goon",12886
Big Political,12637
BigBigMenLover9923Lover99,12494
BigMenLover9923,12164
bigstar,13145
billymills,1172
bingle,11723
binglebongle,13780
BionicRocker,15367
bitch2,13600
bitches,13451
Bitchfemboy,14244
Biyoo,15390
Black Kat,11503
blackberry,12694
BlackDragonSlayer,4420
bladescape,9413
blob,14074
bloodtree,12458
Blue Dragon,14966
Blue Ranger,13645
bluebeary,13374
BMoreElite,13392
bobek,11926
BongWater,9832
boob1,11927
Bookie,15349
bopolis,45
Boquise,1108
Braixen,7721
Breakfast,10639
bremen,14312
brodib1,12352
Brogame123,12269
Broken Vessel,12276
Broncos Country Lets Ride,10899
BrownKow,15660
Bucky~,1645
bumfuzzle28,13924
Buneary,4734
Bunny squared,14227
Butterr,10261
Buzzed Lightyear,10888
bystander,11949
bzz,12545
Cabin_Gray,13986
calliope,12410
calypso.,12230
Calyrex-Shadow,14103
Cam Watanabe,12151
Cam456,13428
camimi,15626
Cape90,9234
Capri Sun,5473
Captain America~,1647
Captain Naked,13592
CaptainPlanet,9266
caramelmachiatto,14927
Carlos,7507
carmenta mimuli,15628
CarnethystPhoenix,12065
Catbi,10707
catboy,13749
catgirl,14054
CatgirlMaple,6361
catnip,12471
CatnodDotGif,9866
cato,12578
Causir,13319
Ceki,8473
Cemeteries,3507
Champ,708
Champ Siggi,12347
Chaos,6005
Chatbot,12524
ChekinNooget,12400
Chelsea,3943
chien-pao,13620
Chili,14018
Chomps,13280
Chris,19
Ciderhead,7651
cinderella,2624
Circe,12796
Claraawoo,14714
clarameow,13981
clawmark,15623
Clippy,12371
Clockwerk,14114
Clouds,9521
CM Prada,12559
cmitc1,3656
Cobalt,240
codeisme,14108
colajack,13089
colon three,12996
Combee,14073
Cookie,12626
CoolGuy,14887
cowsloveSushirolls,9698
CrabbyJade,13802
CRAIG ELO,13901
CreamyKittyy,13347
Creature,3979
Creme,11628
Cress,13896
CrimsonFox,588
Cryowinter,12762
cupcake,13069
CuteKittie,8813
CutenessOverload,12318
Cuthalion,218
Cypher,15290
D3x,9648
Daddy,13630
Dagger 1,14351
Dagger 2,14352
Dagger 3,14353
Dahkah,11764
daisukenowaifuke,12873
Dale,10496
dallsbeep,10560
Dandelion,11634
Dangerhaz,10410
DangerousIcy,13459
DANKEY KANG,11878
Dark Forces,9945
DarkB,10667
Darker,11785
Dartan,13542
Decoy Duck,10791
DeFRaG,14069
Deidara,12974
deine mudda,11677
DelibirdSQ,12885
Dels,2452
Delta,10796
demo,13043
DemonTurtle,408
dev,7670
DevilsBrigade,13022
Diana,11850
didistetter,11484
digitaldude,1072
diglet,14438
diglett19283,10615
DimensionDoors,15306
Dimentio,12774
Diplomacy Dinguses,12070
Disaster,11871
DiSoRiEnTeD,9012
Disquieted,9700
divorce,12382
DkKoba,7605
Doctor Strange~,1648
DoctorZeus,8798
Documentarian,13324
Dog,13442
dogboy,14052
DogboyCinnamon,13158
doggy,10427
Dolby,1160
Donut Boy,10277
Donut Frostboy,14694
dPJokL,12967
Dr3,13923
Dragon Rider,12406
Dragonair,15405
DrakeMarshall,12732
Drax the Destroyer~,1648
drpepperfusion_91027,12701
ducklett,9775
Duckt,10751
ducktacoswag,9111
DUKE!,10758
duke_of_wedgewood,13029
dumbo,13922
dyachei,740
Dyslexicon,193
eaves,13603
Echo Sonaris,14330
Eel the Eels,13655
eeping,14970
eepy,12335
Egg Bois,13437
Eichenprozessionsspinner,12985
Elektrokabel,14747
elin,13970
Elincia,14892
ElizaThePsycho,8329
Elvira,11008
Empoof,1549
EnbyFrogTapioca,13246
Ephemera,7700
Eskcanta,12603
Espeon,13398
ethel,15499
Eugene H. Krabs,4512
Eurydice,15340
evakyoo,7712
EvilContract,11096
Ex Lion Tamer,11951
Extreme Ways,11969
ezreal,10806
F0rtea,14957
F5.,14759
faithless,11867
Falk,14165
False Knight,12280
Fang,12622
Fangrir,15001
Farfetchd,12497
Fearless,12727
feathertail,13947
Femboy Delight,13895
FerretFemboyNutmeg,13483
Fidough,12926
fireflies,12544
firefly,12521
fireisredsir,10876
fires,11879
Five-Star Horses,14865
FL4K,10115
FlameFrost,13363
Fleur,7220
Flower,12892
fluffy rabbit,7999
Foxy,14124
Fran_mafia,13559
freaky,12891
freckels,14898
freckles,13969
freddy,14843
Freedom,13445
FreezinIce,12832
Frinckles,7705
Frog on a Leaf,11911
FrostburnPhoenix,10935
FrostFlame,12007
frozen and crying,14940
Fuecoco,11585
funni boi,11344
Funyarinpa,12365
Fury 325,11816
Ga1ahad,11894
gamer,7447
Gamer Dude,21
Gamesolver,13943
Gamora~,1651
Garden Gnome,3922
